learnerID,school_year,Age,Filipino 1,English 1,Math 1,Aral Pan 1,Filipino 2,English 2,Math 2,Aral Pan 2,Filipino 3,English 3,Math 3,Science 3,Aral Pan 3,Filipino 4,English 4,Math 4,Science 4,Aral Pan 4,Filipino 5,English 5,Math 5,Science 5,Aral Pan 5,Gender_F,Gender_M,Mother Tongue_Cebuano / Sinugbuanong Binisay,Mother Tongue_English,Mother Tongue_Hiligaynon,Mother Tongue_Ilocano,Mother Tongue_Kamayo,Mother Tongue_Kapampangan,Mother Tongue_Maranao,Mother Tongue_Pangasinan,Mother Tongue_Tagalog,Nutritional Status_Normal,Nutritional Status_Obese,Nutritional Status_Overweight,Nutritional Status_Severely Wasted,Nutritional Status_Wasted,MPS
NAN25-032,1,11,92.0,90.0,91.0,93.0,91.0,88.0,92.0,91.0,82.0,81.0,82.0,82.0,82.0,85,84,83,83,85,92.0,89,91,89,90,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,58.64
BES24-003,0,11,81.0,80.0,80.0,82.0,81.0,81.0,81.0,80.0,82.0,82.0,83.0,81.0,82.0,84,82,84,82,83,85.0,81,82,83,85,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75.7
LANES25-051,1,12,84.0,80.0,82.0,87.0,84.0,84.0,84.0,85.0,83.0,79.0,78.0,79.0,77.0,82,81,80,81,83,84.0,85,87,87,88,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,62.7
LANES25-064,1,11,85.0,85.0,88.0,87.0,88.0,87.0,90.0,88.0,86.0,85.0,85.0,86.0,86.0,85,84,83,85,84,88.0,89,89,88,90,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
UICS25-320,1,11,88.0,90.0,89.0,90.0,89.0,89.0,89.0,92.0,91.0,89.0,90.0,88.0,88.0,90,89,90,89,88,91.0,91,91,90,91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS24-018,0,11,81.0,81.0,81.0,80.0,83.0,82.0,82.0,82.0,81.0,81.0,80.0,81.0,81.0,81,81,81,80,81,80.0,80,82,80,81,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,74.03
UICS25-240,1,11,79.0,76.0,77.0,82.0,84.0,83.0,83.0,84.0,84.0,83.0,83.0,83.0,84.0,86,86,87,86,85,87.0,86,86,87,87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
DAPSMECSE25-027,1,11,86.0,83.0,82.0,84.0,88.0,82.0,83.0,87.0,85.0,85.0,81.0,82.0,83.0,81,81,82,82,83,82.0,83,81,82,80,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75.71
LANES25-058,1,11,83.0,82.0,78.0,77.0,77.0,77.0,77.0,77.0,80.0,78.0,80.0,78.0,78.0,77,78,77,78,79,77.0,76,75,76,77,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
NAN25-008,1,11,83.0,81.0,81.0,83.0,81.0,80.0,79.0,80.0,80.0,79.0,80.0,77.0,80.0,82,82,81,82,82,89.0,88,87,88,87,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.64
BES25-081,1,12,75.0,75.0,75.0,75.0,77.0,77.0,77.0,77.0,76.0,76.0,76.0,76.0,76.0,76,77,76,76,76,76.0,76,76,76,76,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.54
LANES25-009,1,11,90.0,90.0,89.0,90.0,89.0,88.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,92,91,92,91,91,89.0,88,89,89,89,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
UICS25-270,1,12,86.0,85.0,87.0,88.0,87.0,86.0,86.0,87.0,88.0,87.0,86.0,86.0,86.0,84,83,84,83,83,87.0,85,84,83,86,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.82
NAN24-009,0,12,81.0,79.0,79.0,80.0,80.0,79.0,80.0,79.0,81.0,78.0,78.0,81.0,81.0,81,80,81,80,80,77.0,76,76,76,76,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65.57
UICS25-068,1,12,86.0,83.0,87.0,88.0,87.0,86.0,87.0,87.0,87.0,88.0,87.0,85.0,87.0,91,91,92,91,91,90.0,88,87,88,89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,66.82
UISC25-054,1,11,93.0,93.0,95.0,93.0,96.0,95.0,96.0,96.0,94.0,95.0,94.0,93.0,94.0,93,94,91,91,92,91.0,92,93,93,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.08
NAN25-050,1,11,91.0,78.0,85.0,87.0,87.0,81.0,95.0,78.0,93.0,88.0,87.0,83.0,93.0,94,76,82,85,83,93.0,82,94,81,88,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.64
UICS25-102,1,11,87.0,86.0,87.0,86.0,88.0,88.0,88.0,87.0,86.0,86.0,85.0,86.0,86.0,80,78,79,78,79,81.0,81,80,81,82,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS24-032,0,12,76.0,75.0,77.0,77.0,77.0,77.0,77.0,77.0,82.0,81.0,81.0,80.0,81.0,78,78,78,78,79,76.0,76,78,76,76,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74.03
LANES25-112,1,11,78.0,77.0,80.0,80.0,81.0,81.0,81.0,81.0,82.0,81.0,80.0,82.0,82.0,80,80,81,81,80,83.0,84,83,83,84,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
BES25-084,1,12,75.0,75.0,75.0,75.0,79.0,79.0,79.0,79.0,76.0,76.0,76.0,76.0,76.0,75,75,75,75,75,76.0,76,76,76,76,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.54
UISC25-074,1,11,94.0,94.0,93.0,95.0,95.0,94.0,95.0,96.0,94.0,95.0,95.0,94.0,94.0,96,96,95,96,96,93.0,94,94,96,93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.08
LANES25-037,1,11,90.0,90.0,86.0,89.0,92.0,91.0,92.0,91.0,90.0,90.0,90.0,90.0,90.0,87,85,84,87,86,87.0,85,84,86,86,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
UICS25-185,1,11,79.0,79.0,80.0,81.0,82.0,87.0,82.0,83.0,84.0,85.0,85.0,86.0,87.0,86,86,87,85,85,83.0,81,81,82,83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,66.82
UICS24-058,0,11,84.0,84.0,86.0,87.0,87.0,86.0,87.0,86.0,86.0,86.0,88.0,86.0,86.0,85,84,85,85,85,86.0,86,87,83,85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,74.03
UICS25-046,1,11,90.0,89.0,90.0,91.0,90.0,90.0,90.0,91.0,92.0,93.0,90.0,92.0,92.0,90,91,88,86,89,90.0,87,87,86,86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UISC25-023,1,11,90.0,87.0,88.0,91.0,91.0,90.0,90.0,90.0,92.0,91.0,92.0,92.0,91.0,94,94,88,91,90,90.0,91,87,91,90,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.08
UISC24-028,0,11,89.0,82.0,91.0,95.0,90.0,92.0,90.0,90.0,93.0,93.0,92.0,92.0,93.0,94,95,94,95,93,94.0,93,93,92,92,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,76.93
BES25-048,1,11,82.0,84.0,82.0,85.0,85.0,86.0,85.0,86.0,86.0,85.0,85.0,86.0,86.0,84,83,82,83,84,81.0,81,81,83,83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.54
UICS25-047,1,11,87.0,87.0,86.0,86.0,88.0,88.0,89.0,89.0,87.0,87.0,88.0,87.0,87.0,83,82,82,82,83,89.0,89,88,88,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS25-201,1,11,89.0,88.0,89.0,88.0,88.0,90.0,89.0,89.0,84.91689751,89.0,88.0,81.0,86.0,81,86,86,86,87,86.0,87,87,86,81,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS25-037,1,11,82.0,80.0,83.0,85.0,81.0,89.0,89.0,95.0,83.0,82.0,82.0,82.0,84.0,89,88,88,87,87,90.0,87,87,87,88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
LANES24-023,0,16,82.0,82.0,83.0,84.0,86.0,84.0,84.0,84.0,82.0,81.0,80.0,80.0,80.0,75,75,75,75,75,85.0,86,83,84,83,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78.31
BES25-201,1,11,76.0,75.0,76.0,75.0,76.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0,76.0,83,83,83,83,83,84.0,82,82,82,83,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.54
LANES24-024,0,12,82.0,81.0,82.0,83.0,82.0,81.0,82.0,82.0,82.0,80.0,82.0,81.0,79.0,84,83,83,84,84,87.0,86,86,86,86,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78.31
BES25-199,1,11,87.0,85.0,89.0,91.0,89.0,89.0,90.0,90.0,86.0,84.0,84.0,84.0,83.0,83,81,81,81,83,88.0,88,87,88,89,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.54
LANES25-013,1,11,81.0,82.0,81.0,80.0,84.0,83.0,84.0,84.0,82.0,82.0,82.0,83.0,84.0,83,83,81,81,80,83.0,83,83,84,83,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.7
NAN24-021,0,11,83.0,83.0,82.0,82.0,79.0,80.0,80.0,80.0,83.0,82.0,82.0,82.0,82.0,82,82,82,82,82,86.0,85,85,86,85,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65.57
BES25-138,1,11,84.0,82.0,86.0,86.0,87.0,87.0,88.0,87.0,90.0,91.0,89.0,89.0,90.0,81,79,80,80,81,81.0,81,81,81,81,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.54
NAN25-063,1,11,77.0,91.0,91.0,89.0,93.0,88.0,80.0,93.0,75.0,94.0,89.0,80.0,93.0,93,84,91,95,76,92.0,89,76,85,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,58.64
DAFSIS25-007,1,11,85.0,83.0,84.0,85.0,86.0,82.0,84.0,84.0,87.0,86.0,86.0,87.0,87.0,84,82,84,84,83,83.0,86,78,87,86,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,73.08
UISC25-004,1,11,95.0,92.0,94.0,91.0,86.0,89.0,89.0,89.0,87.0,89.0,87.0,87.0,86.0,91,93,92,92,91,89.0,91,88,91,91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.08
NAN24-022,0,11,85.0,86.0,84.0,84.0,86.0,85.0,86.0,87.0,86.0,86.0,86.0,86.0,86.0,85,84,86,85,85,88.0,87,85,87,86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,65.57
UISC25-001,1,11,89.0,87.0,88.0,87.0,91.0,90.0,94.0,90.0,87.0,89.0,87.0,87.0,90.0,90,89,90,90,89,90.0,90,90,90,90,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.08
LANES25-026,1,12,82.0,80.0,82.0,83.0,76.0,76.0,76.0,76.0,80.0,79.0,79.0,79.0,80.0,82,84,82,80,81,80.0,78,79,78,80,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
LANES25-111,1,12,82.0,80.0,83.0,82.0,84.0,83.0,85.0,82.0,85.0,84.0,84.0,84.0,84.0,84,84,84,83,84,86.0,86,84,85,87,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
BES24-006,0,11,84.0,84.0,84.0,84.0,89.0,85.0,87.0,89.0,83.0,83.0,85.0,86.0,85.0,91,90,90,90,91,87.0,87,84,84,87,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75.7
BES25-025,1,11,83.0,85.0,83.0,83.0,84.0,84.0,84.0,84.0,86.0,86.0,86.0,86.0,86.0,84,84,81,83,85,85.0,84,85,85,85,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.54
NAN25-031,1,11,87.0,85.0,83.0,89.0,87.0,85.0,85.0,87.0,81.0,81.0,80.0,80.0,81.0,87,86,86,86,87,91.0,90,89,89,89,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.64
UICS25-318,1,11,88.0,87.0,87.0,86.0,88.0,88.0,86.0,86.0,86.0,87.0,86.0,85.0,85.0,85,84,86,85,84,87.0,86,85,87,88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS25-085,1,12,89.0,87.0,87.0,87.0,88.0,84.0,87.0,87.0,84.0,83.0,83.0,84.0,85.0,91,91,91,91,92,92.0,89,87,88,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS24-021,0,12,80.0,80.0,79.0,80.0,82.0,80.0,80.0,81.0,82.0,81.0,81.0,81.0,81.0,83,83,82,82,82,82.0,81,81,81,82,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74.03
UICS25-379,1,11,80.0,79.0,80.0,79.0,84.0,81.0,81.0,81.0,81.0,80.0,80.0,79.0,80.0,81,80,79,79,79,80.0,79,79,79,80,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UISC25-044,1,11,89.0,89.0,89.0,95.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,93.0,95.0,90,86,89,86,88,91.0,89,90,89,88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.08
UICS25-356,1,11,80.0,76.0,79.0,82.0,84.0,82.0,82.0,84.0,82.0,80.0,80.0,80.0,81.0,80,78,77,77,78,79.0,79,78,79,79,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.82
LANES25-105,1,12,81.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0,82.0,80.0,81.0,82.0,82.0,81,82,81,80,81,85.0,82,84,82,84,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
NAN25-059,1,14,95.0,94.0,76.0,83.0,93.0,92.0,80.0,85.0,76.0,87.0,87.0,93.0,77.0,77,95,77,77,87,80.0,92,90,77,81,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.64
UICS25-322,1,12,85.0,84.0,86.0,87.0,83.0,83.0,83.0,83.0,84.0,82.0,82.0,81.0,83.0,89,89,89,89,90,89.0,89,88,90,89,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,66.82
UICS25-286,1,11,81.0,81.0,82.0,84.0,88.0,86.0,87.0,87.0,86.0,85.0,86.0,86.0,86.0,84,83,86,83,83,85.0,81,81,81,83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,66.82
UICS25-076,1,12,90.0,91.0,90.0,89.0,88.0,87.0,88.0,87.0,89.0,88.0,89.0,90.0,87.0,93,93,92,93,94,92.0,87,86,87,90,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.82
BES25-148,1,11,88.0,86.0,88.0,86.0,90.0,89.0,89.0,90.0,88.0,87.0,86.0,86.0,87.0,89,89,89,88,87,88.0,87,91,91,87,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.54
LANES25-134,1,11,76.0,76.0,75.0,76.0,82.0,80.0,83.0,82.0,81.0,79.0,90.0,80.0,79.0,84,80,81,82,81,82.0,81,81,81,82,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
UISC24-012,0,12,89.0,88.0,89.0,89.0,91.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0,91.0,89,90,91,91,92,91.0,89,89,89,89,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,76.93
BES25-157,1,11,95.0,91.0,90.0,92.0,93.0,93.0,93.0,92.0,91.0,92.0,93.0,91.0,93.0,90,90,92,91,90,93.0,92,96,93,90,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.54
UICS25-005,1,11,87.0,87.0,87.0,86.0,88.0,87.0,88.0,89.0,87.0,86.0,87.0,86.0,87.0,86,85,84,88,85,85.0,86,85,87,91,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.82
LANES25-072,1,11,92.0,92.0,89.0,90.0,87.0,87.0,88.0,89.0,87.0,86.0,86.0,87.0,87.0,89,86,85,87,88,89.0,86,85,85,86,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
DAPSMECSE25-023,1,10,77.0,75.0,76.0,77.0,78.0,78.0,78.0,78.0,84.0,83.0,84.0,84.0,84.0,83,80,80,81,81,80.0,80,82,84,84,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75.71
DCBMES24-003,0,12,91.0,93.0,92.0,90.0,92.0,90.0,93.0,91.0,89.0,89.0,89.0,89.0,88.0,84,85,84,84,84,93.0,89,89,80,87,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.71
UICS25-111,1,11,82.0,81.0,84.0,89.0,81.0,81.0,82.0,85.0,85.0,83.0,83.0,84.0,85.0,80,80,80,79,80,82.0,81,82,81,82,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS25-176,1,11,81.0,80.0,82.0,82.0,80.0,80.0,83.0,82.0,85.0,81.0,84.0,81.0,84.0,81,80,80,80,81,79.0,78,78,78,78,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS25-294,1,12,84.0,84.0,86.0,84.0,86.0,85.0,86.0,87.0,84.0,82.0,83.0,84.0,84.0,85,84,83,83,85,87.0,86,85,87,89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS25-323,1,12,82.0,83.0,82.0,84.0,85.0,84.0,83.0,85.0,90.0,90.0,90.0,82.0,90.0,91,89,89,89,88,87.0,86,86,88,89,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.82
UISC25-083,1,12,92.0,91.0,92.0,93.0,90.0,92.0,90.0,92.0,89.0,88.0,89.0,89.0,89.0,93,92,92,91,89,92.0,93,90,92,91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.08
UICS25-212,1,11,80.0,80.0,84.0,83.0,83.0,86.0,85.0,85.0,84.91689751,86.0,87.0,87.0,86.0,84,84,84,84,84,85.0,85,87,86,85,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,66.82
UICS24-001,0,12,93.0,90.0,90.0,91.0,94.0,90.0,90.0,94.0,89.0,88.0,89.0,88.0,89.0,86,86,86,85,85,89.0,86,86,87,87,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,74.03
LANES25-140,1,12,85.0,83.0,85.0,86.0,87.0,86.0,89.0,87.0,89.0,88.0,89.0,88.0,88.0,90,90,89,90,88,88.0,86,87,88,88,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
