learnerID,School,Age,Filipino 1,English 1,Math 1,Aral Pan 1,Filipino 2,English 2,Math 2,Aral Pan 2,Filipino 3,English 3,Math 3,Science 3,Aral Pan 3,Filipino 4,English 4,Math 4,Science 4,Aral Pan 4,Filipino 5,English 5,Math 5,Science 5,Aral Pan 5,school_year,Filipino_avg,English_avg,Math_avg,AralPan_avg,Science_avg,Gender_F,Gender_M,Mother Tongue_Cebuano / Sinugbuanong Binisay,Mother Tongue_English,Mother Tongue_Hiligaynon,Mother Tongue_Ilocano,Mother Tongue_Kamayo,Mother Tongue_Kapampangan,Mother Tongue_Maranao,Mother Tongue_Pangasinan,Mother Tongue_Tagalog,Nutritional Status_Normal,Nutritional Status_Obese,Nutritional Status_Overweight,Nutritional Status_Severely Wasted,Nutritional Status_Wasted,MPS
NAN25-032,Nancayasan Elementary School,11,92.0,90.0,91.0,93.0,91.0,88.0,92.0,91.0,82.0,81.0,82.0,82.0,82.0,85,84,83,83,85,92.0,89,91,89,90,1,88.4,86.4,87.8,88.2,84.66666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,58.64
BES24-003,Badipa Elementary School,11,81.0,80.0,80.0,82.0,81.0,81.0,81.0,80.0,82.0,82.0,83.0,81.0,82.0,84,82,84,82,83,85.0,81,82,83,85,0,82.6,81.2,82.0,82.4,82.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75.7
LANES25-051,Lananpin Elementary School,12,84.0,80.0,82.0,87.0,84.0,84.0,84.0,85.0,83.0,79.0,78.0,79.0,77.0,82,81,80,81,83,84.0,85,87,87,88,1,83.4,81.8,82.2,84.0,82.33333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,62.7
LANES25-064,Lananpin Elementary School,11,85.0,85.0,88.0,87.0,88.0,87.0,90.0,88.0,86.0,85.0,85.0,86.0,86.0,85,84,83,85,84,88.0,89,89,88,90,1,86.4,86.0,87.0,87.0,86.33333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
UICS25-320,Urdaneta I Central School,11,88.0,90.0,89.0,90.0,89.0,89.0,89.0,92.0,91.0,89.0,90.0,88.0,88.0,90,89,90,89,88,91.0,91,91,90,91,1,89.8,89.6,89.8,89.8,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS24-018,Urdaneta I Central School,11,81.0,81.0,81.0,80.0,83.0,82.0,82.0,82.0,81.0,81.0,80.0,81.0,81.0,81,81,81,80,81,80.0,80,82,80,81,0,81.2,81.0,81.2,81.0,80.33333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,74.03
UICS25-240,Urdaneta I Central School,11,79.0,76.0,77.0,82.0,84.0,83.0,83.0,84.0,84.0,83.0,83.0,83.0,84.0,86,86,87,86,85,87.0,86,86,87,87,1,84.0,82.8,83.2,84.4,85.33333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
DAPSMECSE25-027,Don Amadeo Perez Sr. Memorial Elementary School - East,11,86.0,83.0,82.0,84.0,88.0,82.0,83.0,87.0,85.0,85.0,81.0,82.0,83.0,81,81,82,82,83,82.0,83,81,82,80,1,84.4,82.8,81.8,83.4,82.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75.71
LANES25-058,Lananpin Elementary School,11,83.0,82.0,78.0,77.0,77.0,77.0,77.0,77.0,80.0,78.0,80.0,78.0,78.0,77,78,77,78,79,77.0,76,75,76,77,1,78.8,78.2,77.4,77.6,77.33333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
NAN25-008,Nancayasan Elementary School,11,83.0,81.0,81.0,83.0,81.0,80.0,79.0,80.0,80.0,79.0,80.0,77.0,80.0,82,82,81,82,82,89.0,88,87,88,87,1,83.0,82.0,81.6,82.4,82.33333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.64
BES25-081,Badipa Elementary School,12,75.0,75.0,75.0,75.0,77.0,77.0,77.0,77.0,76.0,76.0,76.0,76.0,76.0,76,77,76,76,76,76.0,76,76,76,76,1,76.0,76.2,76.0,76.0,76.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.54
LANES25-009,Lananpin Elementary School,11,90.0,90.0,89.0,90.0,89.0,88.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,92,91,92,91,91,89.0,88,89,89,89,1,90.0,89.4,89.8,89.8,90.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
UICS25-270,Urdaneta I Central School,12,86.0,85.0,87.0,88.0,87.0,86.0,86.0,87.0,88.0,87.0,86.0,86.0,86.0,84,83,84,83,83,87.0,85,84,83,86,1,86.4,85.2,85.4,86.0,84.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.82
NAN24-009,Nancayasan Elementary School,12,81.0,79.0,79.0,80.0,80.0,79.0,80.0,79.0,81.0,78.0,78.0,81.0,81.0,81,80,81,80,80,77.0,76,76,76,76,0,80.0,78.4,78.8,79.2,79.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65.57
UICS25-068,Urdaneta I Central School,12,86.0,83.0,87.0,88.0,87.0,86.0,87.0,87.0,87.0,88.0,87.0,85.0,87.0,91,91,92,91,91,90.0,88,87,88,89,1,88.2,87.2,88.0,88.4,88.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,66.82
UISC25-054,Urdaneta City SPED Center,11,93.0,93.0,95.0,93.0,96.0,95.0,96.0,96.0,94.0,95.0,94.0,93.0,94.0,93,94,91,91,92,91.0,92,93,93,90,1,93.4,93.8,93.8,93.0,92.33333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.08
NAN25-050,Nancayasan Elementary School,11,91.0,78.0,85.0,87.0,87.0,81.0,95.0,78.0,93.0,88.0,87.0,83.0,93.0,94,76,82,85,83,93.0,82,94,81,88,1,91.6,81.0,88.6,85.8,83.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.64
UICS25-102,Urdaneta I Central School,11,87.0,86.0,87.0,86.0,88.0,88.0,88.0,87.0,86.0,86.0,85.0,86.0,86.0,80,78,79,78,79,81.0,81,80,81,82,1,84.4,83.8,83.8,84.0,81.66666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS24-032,Urdaneta I Central School,12,76.0,75.0,77.0,77.0,77.0,77.0,77.0,77.0,82.0,81.0,81.0,80.0,81.0,78,78,78,78,79,76.0,76,78,76,76,0,77.8,77.4,78.2,78.0,78.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74.03
LANES25-112,Lananpin Elementary School,11,78.0,77.0,80.0,80.0,81.0,81.0,81.0,81.0,82.0,81.0,80.0,82.0,82.0,80,80,81,81,80,83.0,84,83,83,84,1,80.8,80.6,81.0,81.4,82.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
BES25-084,Badipa Elementary School,12,75.0,75.0,75.0,75.0,79.0,79.0,79.0,79.0,76.0,76.0,76.0,76.0,76.0,75,75,75,75,75,76.0,76,76,76,76,1,76.2,76.2,76.2,76.2,75.66666666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.54
UISC25-074,Urdaneta City SPED Center,11,94.0,94.0,93.0,95.0,95.0,94.0,95.0,96.0,94.0,95.0,95.0,94.0,94.0,96,96,95,96,96,93.0,94,94,96,93,1,94.4,94.6,94.4,94.8,95.33333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.08
LANES25-037,Lananpin Elementary School,11,90.0,90.0,86.0,89.0,92.0,91.0,92.0,91.0,90.0,90.0,90.0,90.0,90.0,87,85,84,87,86,87.0,85,84,86,86,1,89.2,88.2,87.2,88.4,87.66666666666667,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
UICS25-185,Urdaneta I Central School,11,79.0,79.0,80.0,81.0,82.0,87.0,82.0,83.0,84.0,85.0,85.0,86.0,87.0,86,86,87,85,85,83.0,81,81,82,83,1,82.8,83.6,83.0,83.8,84.33333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,66.82
UICS24-058,Urdaneta I Central School,11,84.0,84.0,86.0,87.0,87.0,86.0,87.0,86.0,86.0,86.0,88.0,86.0,86.0,85,84,85,85,85,86.0,86,87,83,85,0,85.6,85.2,86.6,85.8,84.66666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,74.03
UICS25-046,Urdaneta I Central School,11,90.0,89.0,90.0,91.0,90.0,90.0,90.0,91.0,92.0,93.0,90.0,92.0,92.0,90,91,88,86,89,90.0,87,87,86,86,1,90.4,90.0,89.0,89.8,88.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UISC25-023,Urdaneta City SPED Center,11,90.0,87.0,88.0,91.0,91.0,90.0,90.0,90.0,92.0,91.0,92.0,92.0,91.0,94,94,88,91,90,90.0,91,87,91,90,1,91.4,90.6,89.0,90.4,91.33333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.08
UISC24-028,Urdaneta City SPED Center,11,89.0,82.0,91.0,95.0,90.0,92.0,90.0,90.0,93.0,93.0,92.0,92.0,93.0,94,95,94,95,93,94.0,93,93,92,92,0,92.0,91.0,92.0,92.6,93.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,76.93
BES25-048,Badipa Elementary School,11,82.0,84.0,82.0,85.0,85.0,86.0,85.0,86.0,86.0,85.0,85.0,86.0,86.0,84,83,82,83,84,81.0,81,81,83,83,1,83.6,83.8,83.0,84.8,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.54
UICS25-047,Urdaneta I Central School,11,87.0,87.0,86.0,86.0,88.0,88.0,89.0,89.0,87.0,87.0,88.0,87.0,87.0,83,82,82,82,83,89.0,89,88,88,90,1,86.8,86.6,86.6,87.0,85.66666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS25-201,Urdaneta I Central School,11,89.0,88.0,89.0,88.0,88.0,90.0,89.0,89.0,84.91689751,89.0,88.0,81.0,86.0,81,86,86,86,87,86.0,87,87,86,81,1,85.783379502,88.0,87.8,86.2,84.33333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS25-037,Urdaneta I Central School,11,82.0,80.0,83.0,85.0,81.0,89.0,89.0,95.0,83.0,82.0,82.0,82.0,84.0,89,88,88,87,87,90.0,87,87,87,88,1,85.0,85.2,85.8,87.8,85.33333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
LANES24-023,Lananpin Elementary School,16,82.0,82.0,83.0,84.0,86.0,84.0,84.0,84.0,82.0,81.0,80.0,80.0,80.0,75,75,75,75,75,85.0,86,83,84,83,0,82.0,81.6,81.0,81.2,79.66666666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78.31
BES25-201,Badipa Elementary School,11,76.0,75.0,76.0,75.0,76.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0,76.0,83,83,83,83,83,84.0,82,82,82,83,1,79.0,78.2,78.4,78.6,80.33333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.54
LANES24-024,Lananpin Elementary School,12,82.0,81.0,82.0,83.0,82.0,81.0,82.0,82.0,82.0,80.0,82.0,81.0,79.0,84,83,83,84,84,87.0,86,86,86,86,0,83.4,82.2,83.0,82.8,83.66666666666667,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78.31
BES25-199,Badipa Elementary School,11,87.0,85.0,89.0,91.0,89.0,89.0,90.0,90.0,86.0,84.0,84.0,84.0,83.0,83,81,81,81,83,88.0,88,87,88,89,1,86.6,85.4,86.2,87.2,84.33333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.54
LANES25-013,Lananpin Elementary School,11,81.0,82.0,81.0,80.0,84.0,83.0,84.0,84.0,82.0,82.0,82.0,83.0,84.0,83,83,81,81,80,83.0,83,83,84,83,1,82.6,82.6,82.2,82.2,82.66666666666667,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.7
NAN24-021,Nancayasan Elementary School,11,83.0,83.0,82.0,82.0,79.0,80.0,80.0,80.0,83.0,82.0,82.0,82.0,82.0,82,82,82,82,82,86.0,85,85,86,85,0,82.6,82.4,82.2,82.2,83.33333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65.57
BES25-138,Badipa Elementary School,11,84.0,82.0,86.0,86.0,87.0,87.0,88.0,87.0,90.0,91.0,89.0,89.0,90.0,81,79,80,80,81,81.0,81,81,81,81,1,84.6,84.0,84.8,85.0,83.33333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.54
NAN25-063,Nancayasan Elementary School,11,77.0,91.0,91.0,89.0,93.0,88.0,80.0,93.0,75.0,94.0,89.0,80.0,93.0,93,84,91,95,76,92.0,89,76,85,90,1,86.0,89.2,85.4,88.2,86.66666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,58.64
DAFSIS25-007,Don Alipio Fernandez Sr. Integrated School,11,85.0,83.0,84.0,85.0,86.0,82.0,84.0,84.0,87.0,86.0,86.0,87.0,87.0,84,82,84,84,83,83.0,86,78,87,86,1,85.0,83.8,83.2,85.0,86.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,73.08
UISC25-004,Urdaneta City SPED Center,11,95.0,92.0,94.0,91.0,86.0,89.0,89.0,89.0,87.0,89.0,87.0,87.0,86.0,91,93,92,92,91,89.0,91,88,91,91,1,89.6,90.8,90.0,89.6,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.08
NAN24-022,Nancayasan Elementary School,11,85.0,86.0,84.0,84.0,86.0,85.0,86.0,87.0,86.0,86.0,86.0,86.0,86.0,85,84,86,85,85,88.0,87,85,87,86,0,86.0,85.6,85.4,85.6,86.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,65.57
UISC25-001,Urdaneta City SPED Center,11,89.0,87.0,88.0,87.0,91.0,90.0,94.0,90.0,87.0,89.0,87.0,87.0,90.0,90,89,90,90,89,90.0,90,90,90,90,1,89.4,89.0,89.8,89.2,89.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.08
LANES25-026,Lananpin Elementary School,12,82.0,80.0,82.0,83.0,76.0,76.0,76.0,76.0,80.0,79.0,79.0,79.0,80.0,82,84,82,80,81,80.0,78,79,78,80,1,80.0,79.4,79.6,80.0,79.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
LANES25-111,Lananpin Elementary School,12,82.0,80.0,83.0,82.0,84.0,83.0,85.0,82.0,85.0,84.0,84.0,84.0,84.0,84,84,84,83,84,86.0,86,84,85,87,1,84.2,83.4,84.0,83.8,84.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
BES24-006,Badipa Elementary School,11,84.0,84.0,84.0,84.0,89.0,85.0,87.0,89.0,83.0,83.0,85.0,86.0,85.0,91,90,90,90,91,87.0,87,84,84,87,0,86.8,85.8,86.0,87.2,86.66666666666667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75.7
BES25-025,Badipa Elementary School,11,83.0,85.0,83.0,83.0,84.0,84.0,84.0,84.0,86.0,86.0,86.0,86.0,86.0,84,84,81,83,85,85.0,84,85,85,85,1,84.4,84.6,83.8,84.6,84.66666666666667,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.54
NAN25-031,Nancayasan Elementary School,11,87.0,85.0,83.0,89.0,87.0,85.0,85.0,87.0,81.0,81.0,80.0,80.0,81.0,87,86,86,86,87,91.0,90,89,89,89,1,86.6,85.4,84.6,86.6,85.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.64
UICS25-318,Urdaneta I Central School,11,88.0,87.0,87.0,86.0,88.0,88.0,86.0,86.0,86.0,87.0,86.0,85.0,85.0,85,84,86,85,84,87.0,86,85,87,88,1,86.8,86.4,86.0,85.8,85.66666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS25-085,Urdaneta I Central School,12,89.0,87.0,87.0,87.0,88.0,84.0,87.0,87.0,84.0,83.0,83.0,84.0,85.0,91,91,91,91,92,92.0,89,87,88,90,1,88.8,86.8,87.0,88.2,87.66666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS24-021,Urdaneta I Central School,12,80.0,80.0,79.0,80.0,82.0,80.0,80.0,81.0,82.0,81.0,81.0,81.0,81.0,83,83,82,82,82,82.0,81,81,81,82,0,81.8,81.0,80.6,81.2,81.33333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74.03
UICS25-379,Urdaneta I Central School,11,80.0,79.0,80.0,79.0,84.0,81.0,81.0,81.0,81.0,80.0,80.0,79.0,80.0,81,80,79,79,79,80.0,79,79,79,80,1,81.2,79.8,79.8,79.8,79.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UISC25-044,Urdaneta City SPED Center,11,89.0,89.0,89.0,95.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,93.0,95.0,90,86,89,86,88,91.0,89,90,89,88,1,91.2,90.2,91.0,91.8,89.33333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.08
UICS25-356,Urdaneta I Central School,11,80.0,76.0,79.0,82.0,84.0,82.0,82.0,84.0,82.0,80.0,80.0,80.0,81.0,80,78,77,77,78,79.0,79,78,79,79,1,81.0,79.0,79.2,80.8,78.66666666666667,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.82
LANES25-105,Lananpin Elementary School,12,81.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0,82.0,80.0,81.0,82.0,82.0,81,82,81,80,81,85.0,82,84,82,84,1,82.0,81.0,81.6,81.8,81.33333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
NAN25-059,Nancayasan Elementary School,14,95.0,94.0,76.0,83.0,93.0,92.0,80.0,85.0,76.0,87.0,87.0,93.0,77.0,77,95,77,77,87,80.0,92,90,77,81,1,84.2,92.0,82.0,82.6,82.33333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.64
UICS25-322,Urdaneta I Central School,12,85.0,84.0,86.0,87.0,83.0,83.0,83.0,83.0,84.0,82.0,82.0,81.0,83.0,89,89,89,89,90,89.0,89,88,90,89,1,86.0,85.4,85.6,86.4,86.66666666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,66.82
UICS25-286,Urdaneta I Central School,11,81.0,81.0,82.0,84.0,88.0,86.0,87.0,87.0,86.0,85.0,86.0,86.0,86.0,84,83,86,83,83,85.0,81,81,81,83,1,84.8,83.2,84.4,84.6,83.33333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,66.82
UICS25-076,Urdaneta I Central School,12,90.0,91.0,90.0,89.0,88.0,87.0,88.0,87.0,89.0,88.0,89.0,90.0,87.0,93,93,92,93,94,92.0,87,86,87,90,1,90.4,89.2,89.0,89.4,90.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.82
