Learner ID,Gender,Age,Mother Tongue,Nutritional Status,Filipino 1,English 1,Math 1,Aral Pan 1,Filipino 2,English 2,Math 2,Aral Pan 2,Filipino 3,English 3,Math 3,Science 3,Aral Pan 3,Filipino 4,English 4,Math 4,Science 4,Aral Pan 4,Filipino 5,English 5,Math 5,Science 5,Aral Pan 5,MPS
BES25-054,F,12,Ilocano,Normal,80,80,85,86,82,82,84,86,82,81,81,81,81,84,84,82,84,85,83,82,83,82,82,80.54
BES25-055,M,11,Ilocano,Normal,86,84,86,86,86,85,85,85,82,81,81,81,82,85,84,80,82,83,83,82,83,83,82,80.54
BES25-056,M,11,Ilocano,Normal,79,75,82,81,80,80,81,81,78,77,78,77,77,84,84,86,85,85,82,81,83,83,83,80.54
BES25-057,M,12,Ilocano,Normal,85,85,82,84,87,85,86,88,86,86,86,86,86,86,86,84,82,84,85,83,85,85,85,80.54
BES25-058,M,12,Ilocano,Normal,87,89,93,91,90,90,90,90,84,83,84,84,83,83,82,86,82,83,83,82,84,83,82,80.54
BES25-059,M,11,Ilocano,Normal,92,91,88,90,89,90,89,89,81,81,81,82,81,86,85,84,84,85,84,84,85,85,84,80.54
BES25-060,M,12,Ilocano,Normal,84,80,84,84,88,86,87,89,84,84,85,84,85,85,83,83,84,85,83,81,83,82,82,80.54
BES25-061,M,12,Tagalog,Normal,79,78,82,85,85,83,80,87,80,80,80,80,80,85,84,82,84,85,82,81,82,83,82,80.54
BES25-062,M,12,Ilocano,Normal,86,83,85,85,85,84,85,85,84,83,84,83,83,85,85,85,85,85,82,81,82,82,82,80.54
BES25-063,M,11,Ilocano,Normal,86,83,84,85,84,85,85,82,79,79,78,79,80,87,88,82,86,87,88,88,86,88,87,80.54
BES25-064,M,11,Ilocano,Normal,81,78,75,76,80,78,81,81,83,83,84,83,84,82,82,80,82,83,81,80,80,81,81,80.54
BES25-065,M,11,Ilocano,Normal,88,87,88,88,88,88,88,87,86,86,86,86,86,83,83,84,83,83,84,82,84,83,82,80.54
BES25-066,M,11,Ilocano,Normal,92,90,89,90,84,83,86,84,83,82,83,83,82,87,87,85,86,86,87,84,86,86,85,80.54
BES25-067,M,11,Ilocano,Normal,82,80,84,85,86,85,84,85,80,81,81,81,81,86,84,82,83,84,83,81,82,81,82,80.54
BES25-068,M,12,Tagalog,Normal,82,83,83,84,85,84,84,84,84,84,84,83,83,84,83,83,83,83,85,84,84,85,84,80.54
BES25-069,M,12,Ilocano,Normal,81,78,83,89,84,82,85,86,79,78,78,79,78,84,84,81,83,85,84,83,83,84,83,80.54
BES25-070,F,12,Ilocano,Normal,81,82,80,81,84,83,83,82,80,81,80,80,81,83,81,82,81,84,84,82,83,84,83,80.54
BES25-071,F,11,Ilocano,Normal,78,77,78,86,80,80,80,80,81,80,79,79,81,85,82,81,81,82,88,84,84,85,84,80.54
BES25-072,F,11,Ilocano,Normal,83,83,83,85,83,85,85,85,85,84,84,84,85,85,83,83,83,85,83,82,83,82,83,80.54
BES25-073,F,11,Ilocano,Normal,93,92,91,91,89,90,89,89,79,78,78,79,78,85,84,84,84,84,86,85,85,85,86,80.54
BES25-074,F,10,Ilocano,Normal,80,80,80,82,86,86,86,86,83,82,82,82,82,82,81,82,82,82,82,76,76,79,78,80.54
BES25-075,F,11,Ilocano,Normal,75,75,75,75,75,76,75,77,77,76,76,77,78,75,75,75,75,75,79,79,79,79,79,80.54
BES25-076,F,12,Ilocano,Normal,75,75,75,76,77,76,76,77,77,76,76,76,76,78,76,76,76,76,75,75,75,75,75,80.54
BES25-077,F,12,Ilocano,Normal,77,76,75,76,76,76,75,76,78,78,78,78,78,79,78,77,79,78,79,79,79,79,79,80.54
BES25-078,F,13,Ilocano,Normal,75,76,75,76,76,76,76,77,77,76,76,76,76,76,76,76,76,76,75,75,75,75,75,80.54
BES25-079,F,11,Ilocano,Normal,81,80,78,80,79,79,81,79,77,77,77,77,77,82,82,82,82,83,78,78,78,78,78,80.54
BES25-080,F,11,Ilocano,Normal,81,79,79,81,75,75,76,76,76,76,76,76,76,78,78,78,78,76,77,77,77,77,77,80.54
BES25-081,F,12,Ilocano,Normal,75,75,75,75,77,77,77,77,76,76,76,76,76,76,77,76,76,76,76,76,76,76,76,80.54
BES25-082,F,11,Ilocano,Normal,82,81,80,81,81,81,81,81,83,82,82,82,82,83,82,81,82,86,83,83,83,83,83,80.54
BES25-083,M,12,Ilocano,Normal,75,78,77,76,80,80,80,80,81,80,80,80,81,80,79,79,79,81,80,79,80,82,82,80.54
BES25-084,M,12,Ilocano,Normal,75,75,75,75,79,79,79,79,76,76,76,76,76,75,75,75,75,75,76,76,76,76,76,80.54
BES25-085,M,12,Ilocano,Normal,80,80,79,79,81,79,80,81,82,82,82,81,81,84,83,84,84,85,80,80,80,80,80,80.54
BES25-086,M,11,Ilocano,Normal,78,78,79,80,80,80,80,80,80,78,80,80,79,76,76,76,76,77,80,80,80,80,80,80.54
BES25-087,M,11,Ilocano,Normal,79,79,80,79,81,80,82,83,82,80,82,83,83,81,79,82,79,81,76,76,76,76,76,80.54
BES25-088,M,14,Ilocano,Normal,76,75,75,75,77,77,78,77,79,78,78,78,79,76,75,76,76,78,75,75,75,75,76,80.54
BES25-089,M,11,Ilocano,Normal,76,76,76,76,77,77,77,77,78,78,78,78,78,78,78,78,78,78,77,77,77,77,77,80.54
BES25-090,M,11,Ilocano,Normal,75,75,75,75,84,81,82,85,80,79,79,78,78,76,75,76,75,76,76,76,76,76,76,80.54
BES25-091,M,13,Tagalog,Normal,78,78,77,78,75,75,75,75,75,75,75,75,75,76,76,76,76,76,75,75,75,75,75,80.54
BES25-092,M,12,Ilocano,Normal,77,75,76,76,77,77,76,77,77,76,76,77,77,78,77,77,76,79,77,77,77,77,77,80.54
BES25-093,M,13,Ilocano,Normal,75,75,75,75,75,75,75,75,75,75,75,75,75,76,76,76,76,76,75,75,75,75,75,80.54
BES25-094,M,12,Ilocano,Normal,79,77,78,80,78,78,78,78,76,76,76,76,76,78,77,77,77,77,78,78,78,78,78,80.54
BES25-095,M,12,Ilocano,Normal,75,75,75,75,85,84,84,85,77,77,77,77,77,79,79,79,79,79,75,75,75,75,75,80.54
BES25-096,M,11,Ilocano,Normal,77,75,77,76,86,85,86,87,80,80,80,80,80,77,76,76,76,77,78,78,78,78,78,80.54
BES25-097,M,11,Ilocano,Normal,80,80,80,80,78,77,77,79,75,75,75,75,75,77,76,77,77,77,76,76,76,76,76,80.54
BES25-098,M,11,Ilocano,Normal,86,83,83,83,85,85,85,85,83,82,83,82,82,78,77,77,77,79,80,80,80,80,80,80.54
BES25-099,M,11,Ilocano,Normal,,,,,,,,,,,,,,90,89,89,91,91,80,80,80,80,80,80.54
BES25-100,M,11,Ilocano,Normal,76,75,75,76,85,85,84,83,81,81,81,81,81,76,75,75,75,76,76,76,76,76,76,80.54
BES25-101,M,11,Ilocano,Normal,75,75,75,75,78,77,76,79,77,76,76,76,79,77,77,77,77,77,77,77,77,77,77,80.54
BES25-102,M,11,Ilocano,Normal,75,75,75,75,80,80,80,80,81,80,81,79,79,76,75,76,77,78,78,78,78,78,78,80.54
BES25-103,M,12,Ilocano,Normal,75,75,75,75,77,76,76,77,76,76,76,76,76,76,75,76,76,76,76,76,76,76,76,80.54
BES25-104,M,12,Ilocano,Normal,75,75,75,78,76,76,76,76,78,75,76,77,76,80,75,75,77,79,82,82,82,82,82,80.54
BES25-105,M,11,Ilocano,Normal,76,75,76,76,83,82,81,82,77,77,77,76,77,76,75,76,76,78,79,79,79,79,79,80.54
BES25-106,F,11,Ilocano,Normal,92,89,89,90,91,90,90,90,83,83,82,82,82,84,83,83,83,84,87,86,86,86,87,80.54
BES25-107,F,11,Ilocano,Normal,91,92,90,91,87,88,88,89,80,87,87,87,87,87,86,87,86,87,88,84,89,87,87,80.54
BES25-108,F,11,Ilocano,Overweight,84,82,86,83,83,83,83,84,82,82,81,82,82,81,80,80,80,82,87,86,87,87,86,80.54
BES25-109,F,11,Ilocano,Normal,85,82,82,87,81,80,82,81,82,82,84,83,83,79,78,80,80,81,81,81,81,81,81,80.54
BES25-110,F,11,Tagalog,Normal,75,75,75,76,84,83,84,86,82,81,81,81,81,79,78,78,79,78,81,79,79,79,81,80.54
BES25-111,F,11,Ilocano,Normal,81,80,81,81,82,80,81,82,78,78,78,78,78,79,79,79,80,79,80,79,79,79,79,80.54
BES25-112,F,11,Ilocano,Normal,79,78,79,80,77,77,77,77,77,77,77,77,77,79,79,78,78,79,81,80,80,80,81,80.54
BES25-113,F,11,Ilocano,Normal,76,76,77,78,79,76,78,79,78,78,78,78,78,81,80,80,80,80,80,79,79,78,79,80.54
BES25-114,F,11,Ilocano,Normal,82,82,82,81,87,87,87,87,85,84,84,84,84,79,78,78,78,79,81,81,81,81,81,80.54
BES25-115,F,11,Ilocano,Normal,76,76,76,78,84,84,85,84,82,81,81,80,80,81,79,75,76,79,80,79,76,80,78,80.54
BES25-116,F,11,Ilocano,Normal,78,77,76,77,76,76,76,77,77,77,77,77,77,81,81,81,81,81,79,77,77,77,77,80.54
BES25-117,F,11,Ilocano,Obese,92,89,90,89,84,85,85,86,86,85,85,84,85,81,79,79,79,80,84,83,83,83,84,80.54
BES25-118,F,11,Ilocano,Normal,79,78,79,81,79,78,79,80,80,79,79,79,79,80,78,78,78,79,80,80,80,80,80,80.54
BES25-119,F,11,Ilocano,Normal,77,76,77,78,79,77,79,79,77,77,77,77,78,82,82,83,82,82,81,80,80,81,82,80.54
BES25-120,F,11,Ilocano,Normal,79,76,81,81,77,75,75,76,76,76,76,76,76,81,81,82,81,82,82,82,81,82,82,80.54
BES25-121,F,11,Ilocano,Normal,79,78,80,85,82,82,82,84,77,77,77,77,77,80,79,79,79,81,81,81,81,81,81,80.54
BES25-122,F,11,Ilocano,Normal,83,83,84,85,86,86,86,87,84,84,84,84,85,83,84,84,88,84,84,83,83,83,83,80.54
BES25-123,M,11,Ilocano,Normal,79,75,80,81,82,81,82,82,76,76,76,76,76,79,78,80,79,80,80,79,79,79,80,80.54
BES25-124,M,11,Ilocano,Normal,81,80,80,79,80,80,80,80,77,77,77,77,77,80,78,77,77,80,79,78,78,78,79,80.54
BES25-125,M,11,Ilocano,Normal,86,82,84,85,87,84,86,86,85,84,85,84,84,79,78,78,78,78,80,80,80,80,80,80.54
BES25-126,M,11,Ilocano,Normal,89,85,86,86,83,81,83,84,83,82,82,83,83,80,79,80,80,80,80,79,79,79,80,80.54
BES25-127,M,11,Ilocano,Normal,76,76,76,76,80,80,80,80,83,82,83,83,82,79,79,79,79,79,76,76,76,76,76,80.54
BES25-128,M,11,Ilocano,Normal,78,78,78,78,82,82,83,81,78,77,78,78,77,79,78,78,78,79,81,80,80,80,81,80.54
BES25-129,M,11,Ilocano,Normal,79,79,78,78,75,76,76,76,77,77,77,76,77,80,81,80,80,80,79,79,79,79,79,80.54
BES25-130,M,11,Ilocano,Normal,82,77,77,79,76,76,79,76,75,75,75,75,75,78,77,77,77,78,81,78,78,78,78,80.54
BES25-131,M,11,Ilocano,Normal,79,80,79,79,77,77,77,77,77,77,78,76,78,81,81,81,81,81,80,80,81,81,81,80.54
BES25-132,M,11,Ilocano,Normal,78,78,78,78,84,85,83,84,77,77,77,78,76,81,81,81,81,81,77,79,79,79,80,80.54
BES25-133,M,11,Ilocano,Normal,75,75,75,75,79,79,79,79,76,76,76,76,76,79,79,79,79,79,76,76,77,76,77,80.54
BES25-134,M,13,Ilocano,Normal,80,76,77,77,87,84,85,85,82,81,82,82,81,80,80,80,80,80,77,75,75,75,75,80.54
BES25-135,M,11,Ilocano,Normal,76,76,76,78,79,79,79,79,78,78,78,78,78,80,80,81,81,81,80,76,76,76,77,80.54
BES25-136,M,11,Ilocano,Normal,76,76,76,78,79,76,79,77,79,78,79,78,79,79,79,79,79,79,80,79,79,79,80,80.54
BES25-137,M,12,Ilocano,Normal,86,83,84,86,78,78,78,78,76,76,76,76,81,79,80,80,80,79,80,79,79,79,80,80.54
BES25-138,M,11,Tagalog,Normal,84,82,86,86,87,87,88,87,90,91,89,89,90,81,79,80,80,81,81,81,81,81,81,80.54
BES25-139,M,11,Ilocano,Normal,77,75,76,77,79,79,79,79,77,76,76,76,76,79,79,79,79,79,80,79,80,79,80,80.54
BES25-140,M,11,Ilocano,Normal,78,83,76,77,76,76,76,76,76,76,76,76,76,81,80,80,80,80,81,80,81,81,81,80.54
BES25-141,M,11,Ilocano,Normal,79,78,79,80,80,79,80,81,75,75,75,75,75,76,76,76,76,76,78,78,78,78,78,80.54
BES25-142,M,11,Ilocano,Normal,88,78,79,79,82,80,80,80,80,79,79,79,79,82,82,82,82,82,83,81,81,81,82,80.54
BES25-143,M,11,Ilocano,Normal,88,87,88,87,85,84,86,86,86,85,85,85,85,81,80,80,80,81,80,79,79,79,80,80.54
BES25-144,M,12,Ilocano,Normal,84,84,83,83,76,76,77,76,76,76,76,76,76,80,80,80,80,80,80,79,79,79,79,80.54
BES25-145,M,11,Tagalog,Normal,83,81,82,82,82,81,83,82,80,79,80,80,80,81,80,79,79,81,82,82,82,82,82,80.54
BES25-146,M,11,Tagalog,Normal,77,75,78,79,79,80,80,79,81,80,80,79,80,88,88,88,89,88,79,80,79,78,79,80.54
BES25-147,M,11,Ilocano,Normal,88,86,90,89,93,94,94,91,93,95,95,93,93,93,92,95,94,92,89,90,90,91,88,80.54
BES25-148,M,11,Ilocano,Normal,88,86,88,86,90,89,89,90,88,87,86,86,87,89,89,89,88,87,88,87,91,91,87,80.54
BES25-149,M,11,Ilocano,Normal,90,91,89,89,86,83,85,86,86,85,85,85,85,89,89,90,90,89,89,89,92,88,87,80.54
BES25-150,M,11,Ilocano,Normal,89,93,90,91,90,91,90,90,85,86,84,84,84,87,88,85,87,86,91,94,89,92,89,80.54
BES25-151,M,11,Ilocano,Normal,94,91,89,92,94,94,95,93,92,91,92,90,91,89,91,90,90,90,93,92,96,93,90,80.54
BES25-152,M,11,Ilocano,Normal,88,88,86,86,88,88,86,86,87,87,87,87,87,90,90,89,90,90,90,91,91,92,89,80.54
BES25-153,M,11,Tagalog,Normal,92,94,94,94,91,91,91,92,93,93,93,92,93,92,92,91,92,91,92,95,93,93,91,80.54
BES25-154,M,11,Ilocano,Normal,93,93,92,91,90,90,91,90,87,87,87,87,87,91,90,89,89,90,92,91,92,91,89,80.54
BES25-155,M,11,Ilocano,Normal,87,90,87,86,89,88,89,90,88,87,87,86,87,90,90,88,89,89,91,89,89,92,88,80.54
BES25-156,M,11,Ilocano,Normal,90,91,91,91,87,87,87,86,87,86,86,87,87,89,90,87,89,89,90,90,91,90,88,80.54
BES25-157,M,11,Ilocano,Normal,95,91,90,92,93,93,93,92,91,92,93,91,93,90,90,92,91,90,93,92,96,93,90,80.54
BES25-158,M,11,Ilocano,Normal,90,91,90,90,87,87,89,87,86,86,87,87,87,89,88,86,87,88,90,88,89,88,88,80.54
BES25-159,M,11,Ilocano,Normal,90,89,89,89,91,91,90,92,88,88,88,87,87,90,90,91,90,90,92,93,93,92,90,80.54
BES25-160,M,11,Ilocano,Normal,91,90,92,90,90,90,90,90,87,87,88,87,87,92,92,91,92,91,92,92,95,93,91,80.54
BES25-161,M,11,Ilocano,Wasted,90,90,89,90,89,89,88,89,87,87,87,87,87,89,88,90,86,88,88,88,92,89,87,80.54
BES25-162,M,11,Tagalog,Normal,92,92,88,91,90,90,90,90,92,92,91,91,92,89,88,88,88,88,88,89,88,88,88,80.54
BES25-163,M,11,Tagalog,Normal,96,94,96,97,96,95,96,95,94,94,94,94,94,89,91,90,90,90,93,92,94,92,90,80.54
BES25-164,M,11,Tagalog,Normal,90,90,90,89,90,89,89,89,92,93,93,92,92,91,90,92,91,91,91,91,90,91,89,80.54
BES25-165,F,11,Ilocano,Normal,89,90,88,89,85,87,86,86,86,86,86,86,86,89,90,88,89,90,90,92,90,92,89,80.54
BES25-166,F,11,Ilocano,Normal,92,93,91,91,88,88,87,89,86,86,86,86,86,89,90,90,89,91,93,94,94,92,91,80.54
BES25-167,F,11,Ilocano,Normal,82,77,83,81,80,81,77,77,78,78,78,78,78,88,88,88,88,88,90,89,91,90,88,80.54
BES25-168,F,11,Ilocano,Normal,88,90,90,91,88,85,87,88,85,85,84,84,83,88,89,87,86,89,88,90,89,88,88,80.54
BES25-169,F,11,Ilocano,Normal,92,96,95,94,91,91,91,91,84,83,83,83,83,91,92,91,91,91,92,94,92,93,90,80.54
BES25-170,F,11,Ilocano,Normal,91,92,90,90,87,89,88,88,86,86,86,86,86,91,90,91,91,91,93,94,94,94,91,80.54
BES25-171,F,12,Ilocano,Normal,89,91,89,90,87,87,87,87,88,86,87,88,87,91,90,91,90,90,92,91,95,92,89,80.54
BES25-172,F,11,Ilocano,Normal,92,93,91,90,89,88,88,90,86,86,86,87,87,92,92,91,92,92,94,94,95,95,93,80.54
BES25-173,F,11,Ilocano,Normal,92,90,91,92,88,85,88,85,87,87,91,87,85,90,88,89,89,90,92,92,94,93,90,80.54
BES25-174,F,11,Ilocano,Normal,95,95,94,91,94,93,93,93,92,91,92,91,91,91,90,91,89,90,93,91,91,92,90,80.54
BES25-175,F,11,Ilocano,Normal,92,93,91,91,90,89,88,90,87,87,88,88,87,92,91,91,90,91,93,93,94,92,91,80.54
BES25-176,F,11,Ilocano,Normal,83,80,81,82,83,82,82,83,90,90,89,89,90,88,87,87,88,88,86,87,87,87,86,80.54
BES25-177,F,11,Ilocano,Normal,93,94,91,91,90,89,90,90,87,87,87,87,86,89,87,89,87,99,91,90,90,89,90,80.54
BES25-178,F,12,Tagalog,Normal,80,77,80,79,86,85,85,86,79,79,77,78,76,86,86,85,85,85,90,85,90,89,88,80.54
BES25-179,F,11,Ilocano,Normal,95,94,94,91,93,94,92,94,96,95,95,95,93,89,88,86,88,88,91,90,91,91,91,80.54
BES25-180,F,11,Ilocano,Normal,91,91,90,91,92,93,92,93,91,91,90,90,90,92,92,91,92,91,93,95,94,94,91,80.54
BES25-181,F,11,Ilocano,Normal,92,90,89,89,92,91,92,91,93,93,93,93,93,90,89,90,89,91,92,93,94,92,91,80.54
BES25-182,F,10,Ilocano,Normal,89,89,87,89,84,85,85,86,86,85,85,85,85,89,88,90,87,87,90,88,91,90,89,80.54
BES25-183,F,11,Ilocano,Normal,79,79,79,79,75,75,75,75,76,76,76,76,76,80,79,80,79,81,84,82,83,83,84,80.54
BES25-184,F,11,Ilocano,Wasted,82,79,79,77,81,81,81,80,80,80,80,80,80,83,83,83,83,84,84,84,84,84,84,80.54
BES25-185,F,11,Ilocano,Normal,83,84,83,85,84,84,84,84,76,76,76,76,76,83,82,82,83,84,84,83,83,83,83,80.54
BES25-186,F,11,Ilocano,Normal,86,89,87,87,87,85,87,86,87,87,86,86,86,82,82,81,81,83,86,85,86,86,85,80.54
BES25-187,F,11,Ilocano,Normal,84,82,86,90,86,84,87,87,83,83,82,82,82,83,81,82,82,83,84,84,83,84,84,80.54
BES25-188,F,11,Ilocano,Normal,91,91,89,89,82,82,83,82,80,80,80,81,81,83,81,81,81,83,82,82,82,83,83,80.54
BES25-189,F,11,Ilocano,Normal,77,75,77,76,85,83,82,85,76,76,76,76,76,82,82,83,82,83,83,82,82,82,82,80.54
BES25-190,F,11,Ilocano,Normal,78,78,77,78,78,78,76,77,78,76,77,78,78,81,82,76,83,84,84,83,84,84,84,80.54
BES25-191,F,11,Ilocano,Normal,82,82,81,82,83,83,83,83,78,78,78,78,78,81,81,81,82,82,84,83,83,84,84,80.54
BES25-192,F,12,Ilocano,Normal,77,76,77,76,81,80,80,82,77,76,76,76,76,81,82,83,82,83,83,82,82,82,82,80.54
BES25-193,F,11,Ilocano,Normal,82,81,82,82,80,82,82,82,79,79,79,79,79,85,85,84,82,82,81,81,80,81,80,80.54
BES25-194,F,11,Ilocano,Normal,87,88,86,88,87,86,86,87,88,87,87,87,87,87,87,87,88,88,87,87,87,86,87,80.54
BES25-195,F,11,Ilocano,Normal,82,81,83,82,82,82,84,84,82,81,81,81,82,82,79,78,82,82,86,82,83,83,86,80.54
