learnerID,Sex,Age,Mother Tongue,Nutritional Status(BMI),Filipino 1,English 1,Math 1,Aral Pan 1,Filipino 2,English 2,Math 2,Aral Pan 2,Filipino 3,English 3,Math 3,Science 3,Aral Pan 3,Filipino 4,English 4,Math 4,Science 4,Aral Pan 4,Filipino 5,English 5,Math 5,Science 5,Aral Pan 5,School,MPS
DAPSMECSE24-002,M,12,Ilocano,Normal,79,78,80,80,82,80,80.0,82,86,85,85,86,86,84,82,81,82,84,84,82,81,83,83,Don Amadeo Perez Sr. Memorial Elementary School - East,78.17
DAPSMECSE24-003,F,12,Ilocano,Normal,86,86,88,84,83,84,83.0,85,89,88,89,92,91,87,86,86,86,86,85,87,87,87,87,Don Amadeo Perez Sr. Memorial Elementary School - East,78.17
DAPSMECSE24-004,F,11,Ilocano,Normal,82,80,84,85,81,81,80.0,81,78,78,77,78,78,82,81,81,82,84,83,78,80,79,83,Don Amadeo Perez Sr. Memorial Elementary School - East,78.17
DAFSIS24-001,M,11,Ilocano,Normal,85,85,84,84,87,87,85.0,85,78,78,76,77,77,79,78,78,78,78,83,82,79,82,83,Don Alipio Fernandez Sr. Integrated School,74.93
DAFSIS24-002,M,11,Ilocano,Normal,75,75,75,76,76,75,75.0,76,76,76,76,76,76,77,77,76,77,77,77,77,76,77,77,Don Alipio Fernandez Sr. Integrated School,74.93
DAFSIS24-003,M,11,Ilocano,Normal,77,76,78,76,82,81,82.0,81,84,83,83,83,82,83,83,81,82,83,77,77,76,79,77,Don Alipio Fernandez Sr. Integrated School,74.93
DAFSIS24-004,M,11,Ilocano,Normal,78,77,79,78,78,77,79.0,79,81,79,78,78,79,80,79,77,78,78,79,78,77,80,81,Don Alipio Fernandez Sr. Integrated School,74.93
DAFSIS24-005,M,11,Ilocano,Normal,89,88,89,89,85,85,86.0,84,88,89,88,89,88,85,86,86,84,84,89,92,87,85,90,Don Alipio Fernandez Sr. Integrated School,74.93
DAFSIS24-006,F,11,Ilocano,Normal,82,80,79,79,79,80,80.0,79,82,82,82,82,82,81,81,81,80,81,79,79,76,77,77,Don Alipio Fernandez Sr. Integrated School,74.93
DAFSIS24-007,F,11,Ilocano,Normal,85,85,85,85,86,86,86.0,87,86,85,86,86,87,85,85,84,85,85,81,84,80,83,83,Don Alipio Fernandez Sr. Integrated School,74.93
DAFSIS24-008,F,11,Ilocano,Normal,87,87,85,85,85,84,83.0,84,86,85,86,85,84,84,83,84,83,84,85,85,82,84,83,Don Alipio Fernandez Sr. Integrated School,74.93
DAFSIS24-009,F,11,Ilocano,Normal,93,92,92,92,92,92,93.0,92,90,92,92,92,91,90,92,92,91,88,90,91,90,91,89,Don Alipio Fernandez Sr. Integrated School,74.93
DAFSIS24-010,F,11,Ilocano,Normal,84,85,84,85,84,84,84.0,84,82,82,82,82,82,85,86,85,84,85,82,84,83,83,83,Don Alipio Fernandez Sr. Integrated School,74.93
DCBMES24-001,F,12,Ilocano,Normal,87,86,90,86,88,90,94.0,92,87,88,89,89,88,89,89,89,90,88,94,92,91,94,90,Don Clemente Blanco Memorial Elementary School,45.71
DCBMES24-002,F,11,Ilocano,Normal,90,90,93,92,91,92,93.0,94,91,91,90,93,91,91,91,90,92,90,94,94,92,95,90,Don Clemente Blanco Memorial Elementary School,45.71
DCBMES24-003,M,12,Ilocano,Normal,91,93,92,90,92,90,93.0,91,89,89,89,89,88,84,85,84,84,84,93,89,89,80,87,Don Clemente Blanco Memorial Elementary School,45.71
DCBMES24-004,M,13,Ilocano,Normal,87,86,89,89,85,86,87.0,86,86,84,84,85,85,88,85,87,86,85,85,87,86,86,86,Don Clemente Blanco Memorial Elementary School,45.71
LANES24-001,F,11,Ilocano,Overweight,82,81,81,84,81,81,81.0,81,86,86,86,86,86,87,86,86,87,87,85,83,86,85,85,Lananpin Elementary School,78.31
LANES24-002,F,11,Ilocano,Normal,82,81,82,82,83,83,83.0,82,83,81,82,82,82,83,82,82,82,82,78,77,77,76,79,Lananpin Elementary School,78.31
LANES24-003,M,11,Ilocano,Normal,80,81,80,80,82,81,83.0,83,75,76,76,75,75,77,76,76,77,77,83,82,84,82,83,Lananpin Elementary School,78.31
LANES24-004,M,13,Ilocano,Normal,84,83,85,84,85,85,84.0,84,77,76,77,76,77,76,76,75,75,76,84,82,86,81,84,Lananpin Elementary School,78.31
LANES24-005,F,11,Ilocano,Normal,85,83,82,85,81,79,79.0,80,87,86,86,87,87,86,83,84,85,85,80,79,79,80,80,Lananpin Elementary School,78.31
LANES24-006,M,12,Ilocano,Normal,77,78,78,79,82,82,82.0,82,81,80,81,80,79,80,80,81,82,81,86,85,86,83,85,Lananpin Elementary School,78.31
LANES24-007,M,12,Ilocano,Normal,83,82,80,83,83,82,83.0,83,82,81,81,82,81,83,82,82,81,82,87,86,86,87,86,Lananpin Elementary School,78.31
LANES24-008,M,11,Ilocano,Normal,80,79,79,81,82,80,83.0,81,85,84,84,85,85,85,84,84,84,85,85,85,85,87,87,Lananpin Elementary School,78.31
LANES24-009,M,11,Ilocano,Normal,83,80,84,83,83,81,81.0,82,81,79,78,80,79,84,82,81,82,82,86,85,87,85,86,Lananpin Elementary School,78.31
LANES24-010,M,14,Ilocano,Normal,75,75,75,75,75,75,77.0,75,79,77,78,78,77,76,75,75,76,76,79,77,78,78,79,Lananpin Elementary School,78.31
LANES24-011,F,11,Ilocano,Normal,90,90,91,92,95,94,94.0,95,93,93,92,92,93,93,92,92,92,93,95,93,94,94,93,Lananpin Elementary School,78.31
LANES24-012,F,11,Ilocano,Normal,87,88,88,88,88,87,87.0,86,85,83,84,84,84,86,84,84,86,86,87,87,88,88,88,Lananpin Elementary School,78.31
LANES24-013,F,11,Ilocano,Normal,78,79,79,83,82,81,83.0,82,81,79,81,81,81,81,80,80,80,82,85,88,85,85,87,Lananpin Elementary School,78.31
LANES24-014,F,13,Ilocano,Normal,83,82,84,85,88,87,88.0,86,87,83,84,84,84,85,84,84,84,84,87,87,87,87,86,Lananpin Elementary School,78.31
LANES24-015,F,12,Ilocano,Normal,90,92,90,92,93,89,92.0,89,89,88,88,89,89,92,90,91,92,92,90,89,89,89,89,Lananpin Elementary School,78.31
LANES24-016,F,11,Ilocano,Normal,81,80,81,82,82,82,82.0,82,82,82,81,82,81,83,83,82,83,83,86,84,84,84,86,Lananpin Elementary School,78.31
LANES24-017,M,11,Ilocano,Normal,83,84,82,84,86,85,84.0,83,86,82,82,82,81,86,85,84,84,84,86,86,85,86,86,Lananpin Elementary School,78.31
LANES24-018,M,12,Ilocano,Normal,80,78,79,80,75,75,75.0,75,77,77,77,77,77,77,76,76,77,77,77,77,78,77,77,Lananpin Elementary School,78.31
LANES24-019,M,11,Ilocano,Normal,83,84,88,88,87,87,84.0,86,83,83,82,83,82,85,84,84,84,84,86,86,85,85,85,Lananpin Elementary School,78.31
LANES24-020,M,12,Tagalog,Normal,90,90,89,91,86,83,85.0,84,85,84,85,83,85,84,83,84,82,83,86,86,86,86,85,Lananpin Elementary School,78.31
LANES24-021,M,12,Ilocano,Normal,83,81,85,84,84,83,84.0,83,85,84,85,84,83,85,84,85,85,84,87,87,87,89,88,Lananpin Elementary School,78.31
LANES24-022,F,11,Ilocano,Normal,81,80,80,80,81,81,81.0,81,83,82,82,81,81,85,84,83,89,83,86,85,84,86,87,Lananpin Elementary School,78.31
LANES24-023,M,16,Ilocano,Normal,82,82,83,84,86,84,84.0,84,82,81,80,80,80,75,75,75,75,75,85,86,83,84,83,Lananpin Elementary School,78.31
LANES24-024,F,12,Ilocano,Normal,82,81,82,83,82,81,82.0,82,82,80,82,81,79,84,83,83,84,84,87,86,86,86,86,Lananpin Elementary School,78.31
LANES24-025,F,12,Ilocano,Normal,89,89,90,90,88,88,88.0,88,84,82,84,84,83,85,83,82,84,83,85,84,84,84,85,Lananpin Elementary School,78.31
LANES24-026,F,12,Ilocano,Normal,89,87,88,89,87,86,85.0,86,85,84,82,83,84,86,83,83,82,84,89,87,88,87,87,Lananpin Elementary School,78.31
LANES24-027,M,12,Ilocano,Normal,84,83,87,86,85,83,87.0,84,90,88,87,87,89,90,89,90,88,88,91,90,91,91,90,Lananpin Elementary School,78.31
LANES24-028,M,11,Ilocano,Normal,86,84,87,87,85,85,85.0,83,86,85,86,86,86,86,85,85,87,86,87,86,87,87,86,Lananpin Elementary School,78.31
LANES24-029,M,11,Ilocano,Normal,80,79,80,80,80,80,81.0,81,81,78,78,77,79,79,78,77,78,78,79,78,79,78,79,Lananpin Elementary School,78.31
LANES24-030,F,11,Ilocano,Normal,84,83,84,85,85,85,86.0,85,87,86,86,87,87,83,82,82,83,83,86,86,85,87,87,Lananpin Elementary School,65.57
NAN24-001,F,11,Ilocano,Normal,85,85,85,85,84,86,88.0,87,88,88,88,89,88,89,88,87,88,89,90,89,88,89,88,Nancayasan Elementary School,65.57
NAN24-002,M,11,Ilocano,Normal,84,84,82,84,81,80,82.0,79,82,82,82,82,82,80,79,79,79,79,85,84,82,84,85,Nancayasan Elementary School,65.57
NAN24-003,M,11,Ilocano,Severely Wasted,85,87,85,85,84,82,84.0,84,80,80,80,80,80,80,79,79,79,80,84,83,82,85,84,Nancayasan Elementary School,65.57
NAN24-004,M,11,Ilocano,Normal,89,83,87,89,82,81,82.0,80,79,77,77,78,79,76,76,75,75,76,88,87,86,87,87,Nancayasan Elementary School,65.57
NAN24-005,F,12,Tagalog,Normal,85,84,82,82,87,87,85.0,87,87,87,87,87,87,85,84,84,84,86,90,89,89,90,90,Nancayasan Elementary School,65.57
NAN24-006,M,11,Ilocano,Normal,89,90,88,88,88,84,86.0,89,88,86,88,87,88,87,86,86,86,87,90,88,88,88,88,Nancayasan Elementary School,65.57
NAN24-007,F,11,Ilocano,Normal,88,83,84,86,86,84,82.0,82,88,88,88,88,88,92,92,91,91,93,94,93,92,93,93,Nancayasan Elementary School,65.57
NAN24-008,F,13,Ilocano,Overweight,77,76,77,79,79,78,79.0,79,80,77,77,79,79,77,76,77,76,77,77,79,79,79,81,Nancayasan Elementary School,65.57
NAN24-009,M,12,Ilocano,Normal,81,79,79,80,80,79,80.0,79,81,78,78,81,81,81,80,81,80,80,77,76,76,76,76,Nancayasan Elementary School,65.57
NAN24-010,F,11,Tagalog,Normal,85,85,84,84,82,81,82.0,81,87,83,81,82,85,80,81,80,80,80,89,88,86,87,87,Nancayasan Elementary School,65.57
NAN24-011,F,11,Ilocano,Normal,90,90,89,89,89,91,92.0,91,89,89,89,89,89,83,85,85,83,84,93,91,91,91,91,Nancayasan Elementary School,65.57
NAN24-012,M,11,Ilocano,Normal,85,85,85,85,82,81,82.0,81,88,85,86,84,86,80,80,80,80,80,86,86,86,85,85,Nancayasan Elementary School,65.57
NAN24-013,M,11,Ilocano,Normal,83,81,82,83,83,83,82.0,85,81,81,81,82,83,84,83,83,83,84,87,86,86,86,86,Nancayasan Elementary School,65.57
NAN24-014,M,11,Ilocano,Normal,87,88,86,87,80,80,80.0,80,87,85,86,86,86,83,82,84,82,83,86,84,80,84,84,Nancayasan Elementary School,65.57
NAN24-015,M,11,Ilocano,Normal,87,86,87,87,87,88,85.0,90,89,89,86,88,89,89,87,86,86,88,88,84,85,87,87,Nancayasan Elementary School,65.57
NAN24-016,M,12,Tagalog,Normal,85,83,83,84,83,84,85.0,85,84,84,83,83,83,83,82,81,82,82,80,80,82,82,83,Nancayasan Elementary School,65.57
NAN24-017,M,11,Ilocano,Normal,79,77,77,79,80,78,80.0,79,80,82,80,81,81,86,84,87,87,87,88,88,85,89,88,Nancayasan Elementary School,65.57
NAN24-018,M,11,Ilocano,Normal,87,86,86,87,87,86,88.0,87,89,87,89,88,88,87,86,87,87,88,88,86,89,88,87,Nancayasan Elementary School,65.57
NAN24-019,M,11,Ilocano,Wasted,87,85,85,87,88,88,87.0,87,89,86,87,87,88,89,88,87,88,89,88,87,85,87,87,Nancayasan Elementary School,65.57
NAN24-020,M,12,Ilocano,Normal,87,85,85,87,93,93,92.0,91,88,88,87,88,88,85,84,84,84,85,82,78,84,79,78,Nancayasan Elementary School,65.57
NAN24-021,M,11,Ilocano,Normal,83,83,82,82,79,80,80.0,80,83,82,82,82,82,82,82,82,82,82,86,85,85,86,85,Nancayasan Elementary School,65.57
NAN24-022,M,11,Tagalog,Normal,85,86,84,84,86,85,86.0,87,86,86,86,86,86,85,84,86,85,85,88,87,85,87,86,Nancayasan Elementary School,65.57
UICS24-001,M,12,Ilocano,Overweight,93,90,90,91,94,90,90.0,94,89,88,89,88,89,86,86,86,85,85,89,86,86,87,87,Urdaneta I Central School,74.03
UICS24-002,M,12,Ilocano,Normal,80,79,80,81,81,81,80.0,80,80,79,79,79,80,82,81,81,81,82,88,87,87,88,88,Urdaneta I Central School,74.03
UICS24-003,M,12,Ilocano,Overweight,82,81,82,83,84,84,84.0,85,84,84,83,85,86,84,84,84,84,84,89,89,87,89,89,Urdaneta I Central School,74.03
UICS24-004,M,11,Ilocano,Normal,81,82,81,83,83,83,84.0,83,85,85,84,84,85,84,83,82,82,83,89,89,87,89,89,Urdaneta I Central School,74.03
UICS24-005,M,11,Ilocano,Normal,75,75,76,75,75,76,75.0,75,79,78,78,79,79,82,82,82,82,82,87,87,87,87,87,Urdaneta I Central School,74.03
UICS24-006,M,12,Ilocano,Obese,89,89,89,89,88,89,88.0,90,88,90,88,88,90,92,90,90,90,89,89,88,87,87,88,Urdaneta I Central School,74.03
UICS24-007,F,12,Ilocano,Normal,86,88,85,86,86,86,85.0,86,87,87,85,86,86,93,92,92,93,92,92,92,88,90,93,Urdaneta I Central School,74.03
UICS24-008,F,12,Ilocano,Normal,91,88,91,91,89,91,90.0,89,90,91,90,90,88,92,90,90,90,91,91,89,89,90,91,Urdaneta I Central School,74.03
UICS24-009,F,12,Ilocano,Normal,84,84,84,84,85,83,84.0,84,86,86,86,85,85,86,84,84,84,84,92,91,90,90,91,Urdaneta I Central School,74.03
UICS24-010,M,11,Ilocano,Normal,92,90,90,90,89,90,89.0,89,89,89,89,88,87,91,91,92,92,92,92,92,90,91,92,Urdaneta I Central School,74.03
UICS24-011,M,12,Ilocano,Overweight,90,88,92,91,91,90,92.0,91,91,89,90,92,90,90,91,91,90,90,90,89,92,90,90,Urdaneta I Central School,74.03
UICS24-012,M,11,Ilocano,Overweight,86,84,85,84,87,86,86.0,87,86,84,84,85,85,86,86,84,84,85,91,90,89,90,90,Urdaneta I Central School,74.03
UICS24-013,M,12,Ilocano,Normal,80,81,82,83,87,83,85.0,84,86,84,84,85,85,86,85,85,84,85,89,90,90,89,88,Urdaneta I Central School,74.03
UICS24-014,F,11,Ilocano,Normal,86,86,85,86,84,82,85.0,85,83,82,84,83,85,84,84,84,82,82,82,83,82,83,84,Urdaneta I Central School,74.03
UICS24-015,F,12,Ilocano,Normal,81,80,82,83,82,81,81.0,82,83,82,82,82,82,81,82,82,83,83,85,83,84,85,84,Urdaneta I Central School,74.03
UICS24-016,F,12,Ilocano,Normal,83,82,82,82,85,83,83.0,85,84,82,82,84,84,85,85,85,85,85,84,86,82,85,83,Urdaneta I Central School,74.03
UICS24-017,M,12,Ilocano,Normal,81,79,83,82,86,84,88.0,86,81,81,81,80,81,79,78,79,79,80,84,84,84,84,84,Urdaneta I Central School,74.03
UICS24-018,M,11,Ilocano,Severely Wasted,81,81,81,80,83,82,82.0,82,81,81,80,81,81,81,81,81,80,81,80,80,82,80,81,Urdaneta I Central School,74.03
UICS24-019,M,12,Ilocano,Normal,86,86,85,85,84,83,84.0,84,84,84,85,84,84,84,83,82,83,83,84,84,85,85,85,Urdaneta I Central School,74.03
UICS24-020,M,12,Ilocano,Normal,85,85,85,85,86,86,86.0,86,86,85,86,85,85,86,85,85,85,85,85,84,84,84,85,Urdaneta I Central School,74.03
UICS24-021,F,12,Ilocano,Normal,80,80,79,80,82,80,80.0,81,82,81,81,81,81,83,83,82,82,82,82,81,81,81,82,Urdaneta I Central School,74.03
UICS24-022,F,12,Ilocano,Normal,81,82,81,81,81,80,81.0,80,80,79,79,80,80,77,77,77,77,77,82,81,81,81,83,Urdaneta I Central School,74.03
UICS24-023,F,12,Ilocano,Normal,77,76,77,76,80,79,84.44144144144144,79,80,79,80,80,80,80,79,80,81,81,83,81,81,81,83,Urdaneta I Central School,74.03
UICS24-024,F,11,Ilocano,Normal,82,81,82,80,80,79,79.0,79,80,79,78,78,79,82,83,83,84,84,83,82,82,82,83,Urdaneta I Central School,74.03
UICS24-025,M,12,Ilocano,Normal,82,80,82,83,80,80,80.0,80,81,80,80,79,79,83,83,82,82,82,78,78,78,79,78,Urdaneta I Central School,74.03
UICS24-026,M,12,Ilocano,Normal,82,80,83,82,81,81,80.0,80,80,81,81,80,80,81,80,79,80,80,78,78,77,77,77,Urdaneta I Central School,74.03
UICS24-027,M,12,Ilocano,Normal,78,78,78,80,75,75,75.0,75,79,78,78,79,79,83,83,83,83,83,79,78,78,78,79,Urdaneta I Central School,74.03
UICS24-028,M,12,Ilocano,Normal,80,80,79,80,79,78,78.0,80,82,82,82,82,82,81,80,78,80,79,77,77,76,79,77,Urdaneta I Central School,74.03
UICS24-029,F,12,Ilocano,Normal,76,76,76,76,79,78,78.0,79,82,81,81,82,81,80,80,80,80,80,79,78,78,78,79,Urdaneta I Central School,74.03
UICS24-030,M,12,Ilocano,Normal,83,81,83,83,81,81,81.0,82,83,82,81,81,82,83,83,83,84,84,77,76,76,76,76,Urdaneta I Central School,74.03
UICS24-031,F,12,Ilocano,Wasted,90,89,87,91,93,92,88.0,89,93,94,92,93,94,93,93,92,92,92,78,78,78,79,78,Urdaneta I Central School,74.03
UICS24-032,M,12,Ilocano,Normal,76,75,77,77,77,77,77.0,77,82,81,81,80,81,78,78,78,78,79,76,76,78,76,76,Urdaneta I Central School,74.03
UICS24-033,F,12,Ilocano,Normal,76,75,76,77,79,78,78.0,78,80,79,79,79,80,78,79,78,78,80,77,77,75,77,77,Urdaneta I Central School,74.03
UICS24-034,M,12,Ilocano,Normal,80,80,78,79,79,78,79.0,80,81,80,80,81,82,82,82,82,82,82,85,82,84,81,81,Urdaneta I Central School,74.03
UICS24-035,M,12,Ilocano,Normal,76,76,82,80,82,80,83.0,82,84,83,84,82,84,83,81,80,82,81,86,83,87,82,82,Urdaneta I Central School,74.03
UICS24-036,M,11,Ilocano,Normal,87,89,88,88,89,88,87.0,88,90,91,87,88,89,87,89,86,86,88,89,78,88,89,88,Urdaneta I Central School,74.03
UICS24-037,M,12,Ilocano,Normal,80,81,78,80,84,82,82.0,82,79,79,79,79,79,81,80,80,80,80,86,85,84,85,86,Urdaneta I Central School,74.03
UICS24-038,F,12,Ilocano,Normal,81,81,83,82,81,81,83.0,82,81,81,83,81,82,79,78,78,80,80,87,87,86,86,86,Urdaneta I Central School,74.03
UICS24-039,F,12,Ilocano,Normal,81,81,81,81,83,81,81.0,82,82,81,80,79,81,83,83,82,83,84,86,86,86,86,86,Urdaneta I Central School,74.03
UICS24-040,F,12,Ilocano,Obese,94,93,91,91,89,89,89.0,89,88,88,88,88,87,86,85,85,86,87,87,84,86,81,84,Urdaneta I Central School,74.03
UICS24-041,F,12,Ilocano,Normal,86,82,85,86,83,81,84.0,82,86,83,85,83,86,85,88,86,85,83,85,84,85,86,86,Urdaneta I Central School,74.03
UICS24-042,F,11,Ilocano,Normal,86,85,87,86,87,86,86.0,86,85,84,85,84,85,86,85,85,85,86,85,86,84,84,84,Urdaneta I Central School,74.03
UICS24-043,F,12,Ilocano,Normal,85,84,86,85,87,84,86.0,87,85,84,85,86,86,85,85,85,85,85,87,87,87,86,86,Urdaneta I Central School,74.03
UICS24-044,F,12,Ilocano,Overweight,88,90,86,88,88,89,87.0,89,89,89,87,87,88,92,92,90,90,90,87,86,85,85,83,Urdaneta I Central School,74.03
